age,income,loan_amount,credit_limit,current_balance,credit_history_start,num_credit_lines,defaulted
64,95046,17967,47092,69703,2005,9,0
60,49287,30759,67539,45757,2002,8,0
42,113709,21172,71077,27917,1997,7,0
47,59711,37935,26817,23736,2011,1,0
55,31954,27589,42861,28990,2017,4,0
21,93340,31015,18428,63551,1982,7,1
55,92101,30009,48934,59161,2017,7,0
57,91520,18773,15258,80623,1982,6,0
67,107062,42125,62775,23440,2009,8,0
34,122974,27143,86580,36205,1980,6,0
23,38574,7154,99947,81811,2009,3,0
21,29184,22804,10469,56103,2011,4,1
25,39096,42688,33854,71812,2007,3,0
46,87728,21581,11256,42627,2000,1,0
34,54016,31087,81256,20008,1992,5,0
59,31246,33981,38937,72274,2006,1,0
47,65558,4762,6651,33402,2015,1,0
29,138721,47167,55288,54384,1986,2,0
35,38381,10768,89730,6793,2001,4,0
35,147796,44408,30051,6571,1989,6,1
46,56455,40499,32386,17209,2018,8,0
62,112263,39559,80054,44148,1994,3,0
33,24018,49590,21184,3224,1994,1,0
52,31302,9783,38787,49695,1983,3,0
59,87506,47389,26621,33441,2011,3,0
69,61157,30781,80564,40129,2002,5,0
52,74917,31811,82984,63368,1985,4,0
24,112738,49787,64792,45760,2003,4,0
50,116646,36488,50253,24478,1999,9,0
57,103122,9905,39051,72854,2016,7,1
43,44519,10127,54811,86716,1999,4,0
59,116809,23431,35447,13180,1991,3,0
65,107487,7368,88930,16372,2012,6,0
35,76819,28424,35254,30796,2007,3,1
63,100910,47824,89045,59272,1987,6,0
49,140430,46004,62418,55040,1980,9,0
56,91324,19333,19472,76357,2016,6,0
33,25408,24116,8471,72368,2001,4,0
52,79379,48219,13329,79356,1985,5,0
27,45053,44201,39865,17211,2000,6,0
42,29446,16525,51850,6842,2011,3,0
48,20922,24398,59220,64115,2014,8,0
22,118723,33857,98808,67852,1994,4,0
62,71356,11361,11397,46968,1984,8,0
65,30789,17369,40525,18508,1985,3,0
26,117720,4041,58072,23005,2004,7,0
48,86656,1105,95106,55575,2019,9,1
48,64028,10078,88820,81742,2008,4,1
64,84484,26003,89530,19971,1986,8,1
64,52154,7090,28284,26599,2019,3,0
40,102870,39850,66330,88592,1992,7,0
50,22336,2925,88369,67914,2017,3,0
31,123677,19440,30122,68055,1997,7,0
48,87779,40685,75553,88697,1981,6,0
45,39029,27015,86906,6355,1987,2,0
59,79201,34320,99788,55120,1990,3,0
53,52265,26291,67812,75619,2012,6,0
21,122916,37679,12999,39342,2017,4,0
47,132250,27289,27436,86992,2006,6,1
33,136553,4389,47963,79860,1999,1,0
61,63872,26683,7096,3257,1991,1,0
23,66197,14629,30279,28364,2010,3,1
59,145733,25826,31201,25972,2006,8,0
26,75180,36198,24715,27654,2011,8,0
28,43710,27630,34309,81769,1989,4,0
47,49486,34226,20078,82423,1982,6,0
29,91907,47163,61614,30320,2006,8,1
57,148876,33975,10105,21808,2014,7,0
53,91895,1899,99848,53389,2010,7,0
62,84435,12653,7839,35773,1994,4,0
64,60631,28961,73920,52168,1995,9,0
44,149038,17405,48619,28747,1992,6,1
35,121532,9601,47821,77396,2014,3,0
52,40103,34662,18493,84692,1990,5,0
52,84772,34282,22069,58505,2000,5,0
44,146108,22288,12531,86896,1990,5,0
61,34382,30545,42051,19135,2009,8,1
69,104291,37877,12736,48377,2014,9,0
69,121195,47026,12710,24554,2001,9,0
32,23756,16313,72155,63491,2017,6,0
59,40609,16349,18975,56621,2010,6,0
22,134074,8179,67424,59283,1993,9,0
23,36478,11326,50603,86140,2003,4,1
69,120978,45555,28252,17923,2011,6,0
57,59666,2560,85797,48591,2015,4,1
69,95683,14612,6431,63261,2011,1,0
37,119097,18650,79603,55336,1994,7,0
69,144714,27745,42481,75083,2014,6,0
22,120420,32890,97573,61948,1982,9,0
22,91315,21022,14557,34002,1995,7,1
48,97834,5780,79971,81098,1984,7,0
43,146205,19311,5162,74016,2000,2,0
57,34153,29380,39742,27672,1989,9,0
52,129415,45662,24675,5213,1998,9,0
53,96325,3356,78997,11293,2004,6,0
21,129701,5790,22015,56860,1983,3,0
39,32999,27911,55057,63507,2008,1,0
22,75318,25363,37591,58134,1998,4,0
64,20814,21049,98583,3100,1981,3,0
46,135033,11181,14833,62997,1989,1,0
52,96077,40825,12896,29172,2004,3,0
26,110474,17082,37972,21132,1999,4,0
52,22443,1661,54733,19199,1998,8,1
24,95993,38412,46800,37609,2002,9,0
31,95916,49479,10347,43965,2003,3,0
37,93319,3920,64063,9016,1990,6,0
58,145885,26658,7643,40779,2013,5,0
44,129777,49770,45785,32881,2007,6,0
25,37368,15025,23681,83594,1984,4,0
54,35328,9946,55026,25472,1984,6,0
26,76942,29706,20892,52813,2000,7,0
42,111751,46500,52299,37021,1991,9,0
31,119131,40004,22073,55131,1983,7,1
68,47306,17309,35682,25087,2021,6,1
36,105451,47286,19289,13828,1999,1,0
53,59915,34120,12927,62610,2017,2,0
29,57219,31027,53330,2401,2004,1,1
26,100879,8005,71707,86179,1993,9,0
36,131939,47804,82454,16193,1990,9,1
49,84644,1956,70428,45864,2011,7,0
23,80279,35839,55601,21307,1990,2,1
40,73028,9595,82465,20611,1997,6,0
56,124263,48908,7539,44791,2006,4,1
39,20126,13803,27669,12950,1997,1,0
46,72329,26963,75968,77240,2002,1,0
23,47632,37221,25644,78403,1990,5,1
39,127099,40443,23745,3745,2000,2,0
40,85310,34723,33228,56243,1984,4,0
52,129945,40063,39521,4866,2002,1,0
27,75176,49689,31928,33245,2020,4,0
61,139797,16282,23322,45724,2004,6,1
53,106066,5703,62714,72354,2020,4,0
60,125500,7563,92896,52374,1989,1,0
59,146413,26849,67292,31116,2001,7,0
38,64327,32860,34055,82029,1998,2,0
60,88904,32585,47891,21447,1980,9,0
21,23797,23015,86912,31431,1986,3,0
31,67882,13003,11588,18908,1983,8,0
48,33718,44585,95536,30336,1980,8,1
45,54560,27958,11304,41992,1994,3,0
43,96589,27017,12345,56350,2019,4,0
51,42116,12171,34300,70561,1991,2,1
50,56244,46350,29259,52955,2001,4,0
62,121721,13201,96006,62240,2001,9,1
55,21645,30426,93553,21093,1996,2,0
27,67523,18778,20352,7155,2008,3,1
36,144085,46241,38365,47607,1993,4,0
46,137718,43229,24446,34487,1999,5,1
68,39256,22116,7336,56668,2012,1,0
69,121376,49364,67032,21963,1994,7,0
22,120158,34297,80415,51124,1991,7,0
21,73173,20342,12521,53870,2019,9,0
68,57430,28490,76707,57547,1999,4,0
32,59282,20975,28481,65110,2009,6,0
25,139719,27723,23474,54554,2017,2,0
57,83374,24279,51760,21936,1982,4,0
52,88244,13765,60718,5426,2007,2,0
29,31694,47678,49629,89839,2005,5,0
61,76264,12561,50232,28606,2009,7,0
55,95060,42899,91544,48832,1992,1,0
39,117416,1525,72169,29151,1992,7,0
68,77545,23861,55669,80303,1981,6,0
36,138195,34142,83021,12308,2016,6,0
23,59224,27916,74184,63522,2017,8,0
40,122516,45965,52945,46671,1981,8,1
44,117945,5648,18140,3204,2015,6,0
53,33224,36133,88457,88265,2005,3,0
44,60738,31523,19357,32131,1990,5,0
31,45150,30052,73673,53428,1987,2,0
69,83731,35414,70633,34870,2019,5,0
28,69688,33781,81943,50067,2001,9,0
56,119929,5599,83258,59585,1999,1,0
58,128618,36046,17924,22607,1987,5,0
60,93509,48064,74286,25968,2008,6,0
40,28577,36923,98269,12908,2019,7,0
55,28070,42089,79071,27423,2005,9,0
68,146161,4814,62326,75707,2009,6,0
45,28666,46893,95023,79257,1996,5,1
55,77761,36984,35651,62215,1999,7,0
45,141178,27616,75202,56835,1995,1,0
49,56368,3113,53777,50429,1986,5,1
38,26783,44006,21994,83152,1995,2,0
66,131530,14760,72263,39458,2006,4,0
38,61914,22927,64634,47169,2002,7,0
22,90507,21939,15800,8659,2003,5,1
55,147738,33419,42823,61614,1988,6,0
36,99026,13588,68878,78240,2014,2,0
61,135893,37142,23708,33793,1999,3,0
56,131255,40198,17819,47473,2016,7,1
53,130616,45738,79905,89330,2021,2,0
24,87526,34397,68870,56751,1996,6,0
53,90835,17653,14283,79915,2010,5,1
34,65765,11831,35573,55254,1987,1,0
41,39956,6724,83707,8006,1994,4,0
68,107895,12083,35933,75218,2010,2,0
40,66240,46917,10774,66344,2009,4,0
28,141008,20816,77055,34840,1999,1,1
27,57148,43240,15983,33430,2018,2,0
23,114270,7276,23133,24091,1991,8,1
37,147978,49403,19939,33983,1996,6,0
53,24757,39663,5781,24989,2021,2,0
68,39097,14994,61700,76451,2009,6,1
32,30395,24499,32624,19990,2008,9,0
42,36241,24040,11823,81360,1998,7,0
42,123892,44320,23489,37081,1990,9,0
66,47696,17959,44961,12033,2013,5,1
50,135654,7099,34118,17241,1986,7,0
58,90480,43267,86816,6939,2013,7,0
58,66163,20576,27263,48562,1999,3,0
65,39816,36946,18565,36063,2017,7,0
28,69840,7116,25354,77721,2003,1,0
47,122547,16563,47951,28045,1989,9,0
47,72853,27788,96179,45769,2011,6,0
54,44917,27928,28648,48118,1994,5,0
41,116731,37336,55729,85703,2016,7,0
50,41566,10847,46971,22625,1999,5,1
53,95452,27155,23658,28076,1982,5,0
48,82823,15135,26253,65805,2016,7,1
67,141392,18774,69166,45605,2019,7,0
53,40806,2742,53563,85565,1987,3,0
25,95520,19309,31390,89509,2019,3,1
68,21759,1619,93664,40121,2002,3,0
39,146092,18658,56578,66101,2019,6,0
24,61949,35707,84025,32433,1990,6,1
55,112374,21337,37658,44309,1987,3,0
69,22482,17001,11852,68468,2008,3,0
37,44442,1968,99986,45254,2009,8,0
64,53719,48614,7551,68293,1989,8,0
48,78066,26892,76947,38853,2018,7,0
50,113501,26619,66001,39405,2007,4,0
49,22079,1281,54159,67652,2015,4,0
66,22717,28420,56707,44527,1992,3,0
26,79676,16360,38243,78227,2011,5,0
55,47952,40030,26800,1492,2015,3,0
61,106444,2058,80939,9811,2016,8,0
57,62460,21677,62828,25272,2005,7,0
44,110397,11724,12239,73010,2001,3,0
49,92847,29404,11710,48153,1983,9,0
69,113607,38946,26384,55110,2010,5,0
66,109106,40748,26038,14979,1997,9,0
51,38449,30856,45846,29328,2017,7,1
55,53536,10200,92983,13867,2003,7,0
53,84077,34997,72821,60234,2002,6,0
41,58258,26611,42991,26851,2001,2,0
52,68302,42235,84057,32279,1981,9,0
43,145937,36057,11971,74402,2010,6,1
53,48865,2239,34139,16449,1990,8,1
23,26645,39138,90445,77221,2007,1,0
38,139771,49938,82067,6451,2011,5,0
45,58000,1125,85257,88178,1984,1,1
62,46737,46272,89742,42316,2017,8,1
51,31485,24857,42711,64064,1989,8,0
23,58565,16398,11530,64761,2019,1,0
60,45522,7638,16116,39870,2003,9,0
66,139614,7570,70794,31873,2014,2,1
44,85155,4249,5282,59627,2002,9,0
52,75168,10110,84473,67155,1996,1,0
67,72487,41363,6898,26372,1980,9,0
42,149948,14605,9135,4642,2010,4,0
43,32342,13115,11629,29001,2010,9,0
22,60806,40062,90120,35064,2021,7,1
47,68770,23911,94087,15122,2021,6,0
62,98623,39525,70031,25820,2013,5,0
22,123177,33556,38380,69431,1988,9,0
46,119785,13595,22071,56745,2001,2,0
37,95629,2969,25074,51081,1992,2,0
60,140993,44753,95724,71902,2004,9,0
53,72603,18275,72843,9711,1997,3,0
29,146944,5470,44901,86132,1991,8,0
63,132726,11225,16205,19793,2019,9,0
68,101974,43324,60661,9199,1996,8,0
59,125947,42974,10906,77253,1994,4,1
49,46399,43759,7591,37191,2021,1,1
62,148177,24196,67987,11211,1994,4,0
46,105382,41287,68370,64069,1994,9,0
55,101244,14669,85685,89896,2018,2,1
45,129575,38380,59400,57746,1992,3,0
44,135520,46141,30150,22542,1996,8,1
33,130904,49320,36852,32312,2011,6,1
27,96534,48414,47870,46242,1988,8,0
56,75106,39006,57756,88893,2019,7,0
65,132599,16577,61481,56388,1999,5,1
40,50678,23473,6283,28691,2005,9,0
21,96218,29625,38691,78960,2006,4,0
28,83230,16504,6125,85388,2000,6,0
66,134684,25089,72065,23601,1997,2,0
36,94055,37487,31170,19020,1992,2,0
34,76373,1302,13438,9155,1995,2,0
32,51480,32463,25095,70119,1988,7,1
43,105230,45912,21154,82051,1991,2,0
35,88836,30259,13004,37777,2017,2,0
48,92258,43823,14752,20710,1998,9,0
54,59986,38208,60426,25532,1986,7,0
22,44160,31659,31819,19601,2014,3,0
52,105595,36840,97051,64227,1997,3,1
43,121358,32890,29217,5967,1995,7,1
42,99111,14598,93708,85289,2018,5,0
45,84929,48055,37994,21022,1983,6,0
42,93506,47733,20036,44463,2004,8,0
42,54911,20508,82275,75671,2011,9,0
69,107127,43287,54416,6722,2019,1,0
62,51821,14380,14587,28413,1992,3,0
26,95039,27984,5645,82050,1996,7,1
35,80535,45633,35930,86867,2016,6,0
63,133453,9125,86835,84596,1985,7,0
57,104458,37059,35090,67732,1998,8,0
53,32175,5033,92489,13297,1992,6,0
28,139235,38873,57142,69323,2005,3,0
64,74771,18087,31475,24816,1993,2,0
64,126660,41901,23888,41695,2010,7,0
25,147157,6704,48732,20702,1983,1,0
59,141300,8848,86623,26242,2018,3,0
24,106925,22592,51305,56841,1987,4,0
26,133374,46743,51037,68712,2004,1,0
65,86358,7924,14346,86663,1992,5,0
52,37327,28208,5587,54574,2011,3,1
50,67057,20614,17763,86744,2017,2,0
67,26150,1488,64165,29482,2017,3,0
55,24425,40882,74615,10171,2007,8,0
60,143654,26923,41116,4696,2009,6,0
36,36032,49508,90751,21058,1982,7,0
33,22198,36941,96353,21313,2007,6,0
62,80500,30165,95301,20149,1982,6,0
50,73394,2667,30556,54521,2013,3,0
39,40079,27213,64042,46740,1995,8,1
37,56220,5114,23099,5956,2001,7,0
39,61874,37321,50096,76731,2011,7,1
48,33859,8761,76986,83612,2017,6,0
46,70460,32116,18230,67641,1987,5,0
57,51419,34768,34009,64811,1987,8,1
46,138865,49406,75969,53160,1985,5,0
43,28705,26426,38866,52313,1993,9,0
29,62880,18772,89246,64232,2011,9,0
32,149838,39218,81975,16417,2014,1,0
21,43236,4712,46855,25729,1989,6,0
21,107955,2367,86557,31099,1982,7,0
67,105514,41957,11416,30961,1991,3,1
54,123145,42781,77516,13602,2010,7,0
52,35358,27200,60915,10256,2008,7,1
68,119713,4726,23058,87120,1984,2,1
45,114914,24616,81637,35681,2004,7,0
60,122870,28723,45718,88440,2020,1,0
65,96918,38574,37602,65789,2010,5,1
21,139179,35958,79658,44361,2000,9,1
36,136243,10108,83112,65503,1999,7,0
59,34596,13178,63067,35540,2018,7,0
25,53572,36643,32516,27536,2001,2,0
42,98757,32324,92969,85700,1983,8,0
49,21279,39360,6089,64043,1992,3,0
23,83197,18824,42346,79532,2021,8,0
32,131496,46360,79663,57575,1999,3,0
46,82516,9927,15487,3871,1992,7,0
36,27083,29144,5155,47002,1996,2,0
57,140674,32010,72494,50812,2015,4,0
42,140307,23443,81229,23626,2012,6,0
49,146457,15437,43547,60979,1980,9,0
34,129397,45298,33795,77057,1994,5,0
48,37771,40778,60296,67668,1992,9,0
25,49975,12207,26447,81070,1996,5,0
67,65648,26537,41598,43998,2003,8,1
69,145641,36757,46814,64814,1987,1,0
50,68285,13040,95751,46607,2006,7,0
66,39063,42986,80330,8812,2002,4,0
25,87642,23612,92960,62844,1987,5,1
32,110093,29441,68278,71093,1987,6,0
36,134390,7471,60077,3179,2005,5,0
46,106143,36631,76906,44798,1992,1,0
46,57599,44461,14528,75601,2018,9,0
68,71920,27523,98812,9275,2016,2,0
41,48529,32348,55100,51574,2007,9,0
59,55954,2177,13179,48857,2004,2,0
56,47856,5760,53781,21700,1995,9,0
53,22573,33779,60267,40464,1981,6,0
50,98344,22636,87379,43351,1997,9,0
57,55367,17353,28952,83534,1996,6,1
43,122337,12556,58798,14869,2009,6,0
30,126732,28598,55939,61315,2018,2,1
25,119608,12563,34516,21954,1992,8,0
56,80774,47819,61526,32555,2011,3,0
54,43752,44790,15449,64353,2008,7,0
51,75029,9234,55290,83190,2009,5,1
30,37685,26519,91661,46026,1997,3,0
39,71693,27966,77954,47976,1992,1,0
52,136739,17173,27746,81578,2000,8,0
21,75961,27987,72990,46095,2009,3,0
25,126937,14178,63810,15270,2000,2,0
65,144956,40338,88297,31908,1996,1,0
24,96908,25596,20223,16523,2019,4,0
36,145537,34174,77237,63433,1998,8,0
44,146678,42974,7597,48068,1994,3,0
36,94532,5431,70677,20991,1988,1,0
22,101994,28764,7659,11775,1989,4,0
69,76133,22627,91516,78801,2010,9,0
48,117425,40310,79567,85995,2002,1,0
52,145055,9906,20037,62250,2009,2,0
47,81268,37914,51738,17673,2012,9,1
40,112201,45814,76678,28056,1988,2,1
44,58243,46379,17109,7614,1980,3,1
32,77384,14076,27010,8415,2014,7,0
55,51653,38650,13787,89691,1990,3,0
53,46657,47881,13472,44884,2013,9,0
53,59952,47413,28383,17964,1995,6,0
63,42180,7012,66709,38726,1988,3,0
57,117432,8151,74785,38044,2011,9,0
32,141829,29211,39518,58149,1994,1,1
23,148377,28117,58909,38544,1991,3,1
21,98411,37378,23351,50976,2012,1,0
53,21622,43652,74624,33252,1993,2,0
60,68756,7894,58330,4832,1987,8,0
30,60809,14467,20282,81437,1987,7,0
63,36725,32010,89866,35148,2006,2,0
64,81396,43641,26778,62240,1991,2,0
49,71226,13289,29264,89454,1980,9,0
33,126296,45976,64675,86076,2019,6,0
32,101182,44596,10075,78116,2021,5,0
51,102565,24171,80948,54459,1990,6,0
66,49402,35905,53454,39402,2018,9,0
22,24263,21829,33365,58727,2010,7,1
55,143489,35054,77766,39578,1996,9,0
43,116523,49478,53200,23318,2012,4,0
37,66828,45139,16002,76715,2011,2,0
46,140824,49713,18947,78787,2008,8,0
28,67924,30734,84222,86029,2000,4,1
49,94182,8052,99840,21466,2000,9,0
46,113065,4654,83610,46475,2019,4,0
30,79052,24486,57142,61142,2002,8,0
46,31664,19743,61307,86160,1985,9,1
54,55737,49368,9493,27564,2001,9,0
61,121332,25489,55085,23412,2017,4,0
27,109563,9636,39228,52001,2016,1,0
24,49373,7441,84676,58649,1987,3,0
65,137369,25611,56875,61957,2020,9,0
31,56397,43435,36655,36517,2014,4,0
49,148575,13149,48472,14156,1990,5,0
56,106145,35566,54437,24064,2003,7,1
45,121371,43368,54416,26711,2000,5,0
41,58709,22675,64711,31106,1981,4,0
56,136074,6495,11816,66458,2019,2,0
30,81120,43668,82175,17589,1998,2,0
57,39250,14673,69307,87511,2018,4,0
29,41172,12130,51733,8214,2007,9,0
44,31555,23668,16240,86731,1996,8,0
55,107410,16222,97493,28127,1985,3,0
69,98617,24669,76363,6141,1998,9,0
55,73276,35068,37762,29884,2017,5,0
68,77492,24253,13259,3708,2007,3,0
56,73002,10435,55139,19375,1981,5,0
38,140103,29552,19849,16088,2017,4,0
69,144938,38384,86768,58615,2016,8,1
59,109599,17393,94709,46046,1983,5,1
52,92355,11617,59869,11014,2001,8,0
44,111248,39520,68095,65425,2005,9,0
43,44762,10852,75910,4273,2015,4,0
52,31046,32401,91710,48135,1992,7,1
57,116999,7295,28567,31881,2011,2,0
32,144130,36993,40292,79077,1996,6,0
69,136021,35084,79813,9712,2020,8,0
33,48769,46105,56631,75704,2015,7,1
43,73302,40575,14885,53874,1998,7,0
45,43150,37451,64659,70087,2014,8,0
55,88247,8227,59306,13297,2019,7,0
61,24853,32910,71314,28128,2007,5,0
50,114613,37041,70087,69368,1980,7,0
37,140900,24384,34165,88599,2021,3,0
69,109399,1145,63929,89499,1997,5,0
40,41792,38778,72028,79958,2019,7,0
68,79129,17035,54812,33920,2012,9,0
45,126019,4040,55500,12156,1991,2,0
42,94478,43422,84151,12108,1987,4,0
33,133811,27160,63643,32845,2003,7,0
39,134130,18633,49900,3800,1995,1,0
69,87298,30344,47946,43712,1983,2,0
56,51987,18014,12851,3610,2017,9,0
32,35850,15996,21288,78603,2006,7,0
61,32112,42621,77692,34872,1988,7,1
39,141789,12695,72580,11728,1995,6,0
32,44058,3852,12368,21583,1991,3,0
29,65420,17014,90436,86774,2010,3,0
27,58890,28042,51403,8263,2003,2,0
48,86017,34755,96170,68450,1993,6,1
34,67304,41390,14168,20456,2004,4,1
51,52921,24711,91497,66942,2013,5,0
39,125921,27122,54879,14689,1982,3,0
67,21524,10160,64871,33934,2003,6,0
36,120424,28213,94388,34276,2021,3,0
25,35048,40420,37174,20873,1988,8,0
55,55111,8421,97491,14050,2005,9,0
32,57904,22400,11581,67216,1999,4,0
45,74912,34537,76853,85444,2019,9,0
41,54008,18727,69046,85040,1989,7,1
56,20060,47882,54678,22644,1998,3,0
43,94666,5358,31649,63021,1982,7,1
36,103559,29482,93668,38125,2003,1,0
59,75337,33117,87325,67899,1984,3,0
65,130616,24164,19567,43291,1982,6,0
62,33350,32910,85404,36060,2006,4,0
59,44354,33496,94906,2538,1995,7,0
34,65186,45311,66944,37176,1994,3,0
51,48145,30371,83002,42520,2014,1,1
25,54020,39467,33803,26675,1991,9,0
55,106123,18625,23230,19287,2020,6,0
43,126667,34893,22862,1174,2005,8,1
49,95186,11793,48355,35998,2013,3,0
63,105469,32007,36259,54312,2002,8,0
31,40581,26766,92445,13112,2010,2,0
38,108929,40532,35795,76225,1999,4,1
67,43051,13323,13770,45814,1991,3,1
32,71474,46799,16093,86091,2002,1,1
29,111748,47820,51571,51719,1983,7,0
30,145995,46408,5193,34919,2002,2,1
64,134618,8843,22569,74155,1980,4,0
37,89626,15210,16190,72569,2004,9,0
58,26960,17456,67824,42328,1981,6,0
27,55772,32367,47752,71482,2009,8,0
66,41520,11106,37327,25618,1982,2,1
33,69481,38957,47070,35675,2000,7,1
60,56408,3472,90925,19919,2004,6,0
62,114006,7704,45197,5173,1999,9,0
29,148496,4713,7261,27400,2001,7,0
47,77134,6051,98905,51445,2000,1,1
22,40491,11756,31512,71305,2012,8,0
25,21341,3475,11716,38564,2017,3,0
49,64623,37378,91795,46814,1994,2,0
57,110327,5255,33933,80747,1994,3,0
58,20338,15484,9378,89791,2004,6,0
39,91431,35503,45583,28962,2000,3,1
28,32254,9258,90371,85892,2003,5,0
68,71860,41747,34033,86842,1984,6,0
65,31344,36196,29000,71533,1985,8,0
21,21750,46113,80868,57184,2002,7,0
42,74756,41194,47604,83912,1983,8,1
37,87957,9533,73336,11578,2006,3,0
27,125423,33581,78869,19624,1997,4,0
45,78053,6249,10410,40194,2000,6,0
65,90855,20201,88375,1389,2007,7,0
24,35896,10686,61044,68391,2014,9,0
